candidate_set_size,scoring_mode,resampling_enabled,final_accuracy_drop_group_harmful_mean,final_accuracy_drop_group_harmful_std,final_accuracy_drop_group_nonharmful_mean,final_accuracy_drop_group_nonharmful_std,final_accuracy_drop_group_random_mean,final_accuracy_drop_group_random_std,maximum_accuracy_drop_group_harmful_mean,maximum_accuracy_drop_group_harmful_std,maximum_accuracy_drop_group_nonharmful_mean,maximum_accuracy_drop_group_nonharmful_std,maximum_accuracy_drop_group_random_mean,maximum_accuracy_drop_group_random_std,final_accuracy_drop_high_minus_low_mean,final_accuracy_drop_high_minus_low_std,final_accuracy_drop_high_minus_random_mean,final_accuracy_drop_high_minus_random_std,maximum_accuracy_drop_high_minus_low_mean,maximum_accuracy_drop_high_minus_low_std,maximum_accuracy_drop_high_minus_random_mean,maximum_accuracy_drop_high_minus_random_std
2500,endpoint,False,0.04727272987365723,0.004656674192673349,0.004901182651519775,0.0012685389722726136,0.009802377223968506,0.005891860289145934,0.02932804822921753,0.0049949646973861525,0.003399205207824707,0.0016201015252839646,0.006166005134582519,0.0037973441339135485,0.04237154722213745,0.003784998313316367,0.03747035264968872,0.006515162433564802,0.02592884302139282,0.004388967535675747,0.02316204309463501,0.0045463105994108174
2500,endpoint,True,0.03841898441314697,0.008150365359584556,0.022213435173034667,0.007941607233448063,0.024901187419891356,0.009494395075957554,0.03154149055480957,0.006295637792193596,0.016363632678985596,0.0055799796268836644,0.01849801540374756,0.00642459516595185,0.016205549240112305,0.001556142187999129,0.013517796993255615,0.003104723983732499,0.015177857875823975,0.0026307659374848868,0.013043475151062012,0.0025308722797495946
2500,subset_accuracy_drop,False,0.040237152576446535,0.003528656392301913,0.0008695602416992187,0.0005153438258592893,0.010909080505371094,0.001690843012162129,0.020790517330169678,0.003766383689194923,0.0007905125617980957,0.00048409053675511844,0.006245064735412598,0.0021540734640961116,0.03936759233474731,0.0035086572160385153,0.02932807207107544,0.002715482820972659,0.020000004768371583,0.003878760376189178,0.01454545259475708,0.0024268746934224526
2500,subset_accuracy_drop,True,0.027430832386016846,0.00431716393740583,0.01581026315689087,0.0053322994186332925,0.018656134605407715,0.003906819742783818,0.02316206693649292,0.004103826452958204,0.011857712268829345,0.003676101036594127,0.014703547954559327,0.003936729128754015,0.011620569229125976,0.0010679260904603277,0.00877469778060913,0.000810042764728101,0.011304354667663575,0.0015957984776500225,0.008458518981933593,0.0011725067536944359
5000,endpoint,False,0.059762847423553464,0.0064609760598088066,0.008853769302368164,0.0029657433865355643,0.019288527965545654,0.0033234611630471264,0.0459288477897644,0.006479084174023993,0.004426872730255127,0.002225395219641939,0.012173914909362793,0.002442935907085885,0.0509090781211853,0.004413782996401483,0.040474319458007814,0.00324255130929342,0.041501975059509276,0.004660013189637503,0.033754932880401614,0.0049335685352596284
5000,endpoint,True,0.05762845277786255,0.009190901807370803,0.033992087841033934,0.006914158354337952,0.03802371025085449,0.0067680076174609725,0.05011857748031616,0.008927931333670395,0.027035558223724367,0.006629255803377047,0.030830025672912598,0.006637492840194477,0.023636364936828615,0.003680345774394857,0.019604742527008057,0.0034975153361441885,0.023083019256591796,0.0053659113612439455,0.019288551807403565,0.004269889572756247
5000,subset_accuracy_drop,False,0.03968379497528076,0.0041322907792236165,0.0026877522468566895,0.0013805817589101215,0.014940714836120606,0.001984163540189152,0.029881417751312256,0.004546319408959807,0.0019762873649597167,0.0009269797480426582,0.009960484504699708,0.0014085761515437699,0.03699604272842407,0.00458907047049344,0.024743080139160156,0.003418456244413,0.02790513038635254,0.004597552944150138,0.019920933246612548,0.003278484625121798
5000,subset_accuracy_drop,True,0.044268786907196045,0.0050308012059948875,0.028458499908447267,0.005324977095892175,0.03351778984069824,0.004705047126220902,0.03573123216629028,0.0047315499973806475,0.022766804695129393,0.0049651425675072206,0.02671935558319092,0.0037559687765941012,0.015810286998748778,0.002484155741280628,0.010750997066497802,0.0009841799636030903,0.012964427471160889,0.0022945216308792923,0.009011876583099366,0.001754341701465098
10000,endpoint,False,0.07343872785568237,0.008116725783156555,0.01644268035888672,0.0012373518763439339,0.03185770511627197,0.007112430462997038,0.06853755712509155,0.010790591041978098,0.009090912342071534,0.0020154393614114237,0.023952567577362062,0.007090455939062824,0.056996047496795654,0.007089324868127053,0.0415810227394104,0.008135945118385307,0.05944664478302002,0.009820357094060993,0.04458498954772949,0.011131949669427162
10000,endpoint,True,0.0741501808166504,0.008274954224752043,0.04972331523895264,0.0046633654570296095,0.055494058132171634,0.006746055367404993,0.07359684705734253,0.00963892281055375,0.04498023986816406,0.005871920085882882,0.05162055492401123,0.007947522865909674,0.024426865577697753,0.003926796945030586,0.01865612268447876,0.004762818403405315,0.028616607189178467,0.004132276811234352,0.0219762921333313,0.0054021600542923385
10000,subset_accuracy_drop,False,0.05011858940124512,0.006208190730225049,0.012964439392089844,0.0032998890707448968,0.029802358150482176,0.005050953148589728,0.04110672473907471,0.006817471178541024,0.006719374656677246,0.0021468174464464116,0.021581029891967772,0.005314716209753314,0.03715415000915527,0.0040016692662867845,0.02031623125076294,0.0035966016131273528,0.03438735008239746,0.005346920590770378,0.019525694847106933,0.004299032914805412
10000,subset_accuracy_drop,True,0.059525704383850096,0.006540283058896085,0.04600790739059448,0.006290675115834886,0.04964427947998047,0.007183472883132461,0.055573117733001706,0.007275307150867893,0.040237152576446535,0.006527131030432218,0.04498023986816406,0.007625474371036831,0.013517796993255615,0.0036268939477419743,0.009881424903869628,0.002546258622302337,0.015335965156555175,0.004306300721193458,0.010592877864837646,0.0034275790033716775
