seed,candidate_set_size,scoring_mode,block_size,epsilon,use_cert,accuracy,runtime_seconds,status,error
0,2500,endpoint,1000,0.05,none,0.7782608866691589,32.688430370762944,ok,
0,2500,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.7620553374290466,35.897368339821696,ok,
0,2500,endpoint,1000,0.1,none,0.768774688243866,32.96034329384565,ok,
0,2500,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7584980130195618,35.90764436125755,ok,
0,2500,endpoint,2000,0.05,none,0.7565217614173889,34.08607362397015,ok,
0,2500,endpoint,2000,0.05,accuracy_drop_selector_with_resampling,0.7458497881889343,36.806962655857205,ok,
0,2500,endpoint,2000,0.1,none,0.730434775352478,34.39903143234551,ok,
0,2500,endpoint,2000,0.1,accuracy_drop_selector_with_resampling,0.7201581001281738,36.89163957722485,ok,
0,2500,endpoint,2000,0.2,none,0.7209486365318298,34.37886670790613,ok,
0,2500,endpoint,2000,0.2,accuracy_drop_selector_with_resampling,0.7189723253250122,36.99163349159062,ok,
0,2500,endpoint,4000,0.05,none,0.7324110865592957,33.59312323667109,ok,
0,2500,endpoint,4000,0.05,accuracy_drop_selector_with_resampling,0.7221344113349915,37.086190255358815,ok,
0,2500,endpoint,4000,0.1,none,0.6984189748764038,33.939221700653434,ok,
0,2500,endpoint,4000,0.1,accuracy_drop_selector_with_resampling,0.694861650466919,37.03429740667343,ok,
0,2500,endpoint,4000,0.2,none,0.6656126379966736,34.21883497387171,ok,
0,2500,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6699604988098145,37.703460371121764,ok,
0,2500,endpoint,10000,0.05,none,0.7090908885002136,34.98661609366536,ok,
0,2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7162055373191833,39.83543526940048,ok,
0,2500,endpoint,10000,0.1,none,0.6584980487823486,34.65966483019292,ok,
0,2500,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6735177636146545,38.62621412239969,ok,
0,2500,endpoint,10000,0.2,none,0.612252950668335,34.989596953615546,ok,
0,2500,endpoint,10000,0.2,accuracy_drop_selector_with_resampling,0.6288537383079529,39.20701384730637,ok,
0,5000,endpoint,1000,0.05,none,0.7782608866691589,33.42545369267464,ok,
0,5000,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.760079026222229,35.896322356536984,ok,
0,5000,endpoint,1000,0.1,none,0.768774688243866,32.92370496504009,ok,
0,5000,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7561264634132385,35.501258285716176,ok,
0,5000,endpoint,2000,0.05,none,0.7565217614173889,33.97161835990846,ok,
0,5000,endpoint,2000,0.05,accuracy_drop_selector_with_resampling,0.7430830001831055,36.23375669121742,ok,
0,5000,endpoint,2000,0.1,none,0.7308300137519836,34.31534714624286,ok,
0,5000,endpoint,2000,0.1,accuracy_drop_selector_with_resampling,0.7154150009155273,37.27551147155464,ok,
0,5000,endpoint,2000,0.2,none,0.7225296497344971,34.33600213192403,ok,
0,5000,endpoint,2000,0.2,accuracy_drop_selector_with_resampling,0.708695650100708,36.87175941467285,ok,
0,5000,endpoint,4000,0.05,none,0.7324110865592957,33.43499012850225,ok,
0,5000,endpoint,4000,0.05,accuracy_drop_selector_with_resampling,0.7201581001281738,36.51064555160701,ok,
0,5000,endpoint,4000,0.1,none,0.6984189748764038,33.995945950970054,ok,
0,5000,endpoint,4000,0.1,accuracy_drop_selector_with_resampling,0.687747061252594,36.91961686499417,ok,
0,5000,endpoint,4000,0.2,none,0.6656126379966736,34.171638710424304,ok,
0,5000,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6671936511993408,37.73333299160004,ok,
0,5000,endpoint,10000,0.05,none,0.7090908885002136,34.93408516421914,ok,
0,5000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7106719613075256,40.0808702968061,ok,
0,5000,endpoint,10000,0.1,none,0.6584980487823486,34.80730042979121,ok,
0,5000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6711462736129761,39.18715190514922,ok,
0,5000,endpoint,10000,0.2,none,0.612252950668335,34.5845068898052,ok,
0,5000,endpoint,10000,0.2,accuracy_drop_selector_with_resampling,0.6324110627174377,39.54189058765769,ok,
0,10000,endpoint,1000,0.05,none,0.7782608866691589,33.557381408289075,ok,
0,10000,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.7501976490020752,36.41315836086869,ok,
0,10000,endpoint,1000,0.1,none,0.768774688243866,33.66906102746725,ok,
0,10000,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7422924637794495,35.74749085307121,ok,
0,10000,endpoint,2000,0.05,none,0.7565217614173889,33.963426895439625,ok,
0,10000,endpoint,2000,0.05,accuracy_drop_selector_with_resampling,0.731225311756134,36.67257208377123,ok,
0,10000,endpoint,2000,0.1,none,0.730434775352478,34.40485489368439,ok,
0,10000,endpoint,2000,0.1,accuracy_drop_selector_with_resampling,0.7177865505218506,36.902539514005184,ok,
0,10000,endpoint,2000,0.2,none,0.7213438749313354,34.4125886335969,ok,
0,10000,endpoint,2000,0.2,accuracy_drop_selector_with_resampling,0.7063241004943848,36.83363019116223,ok,
0,10000,endpoint,4000,0.05,none,0.7324110865592957,33.313998902216554,ok,
0,10000,endpoint,4000,0.05,accuracy_drop_selector_with_resampling,0.717391312122345,36.668573370203376,ok,
0,10000,endpoint,4000,0.1,none,0.6984189748764038,33.9835106767714,ok,
0,10000,endpoint,4000,0.1,accuracy_drop_selector_with_resampling,0.6865612864494324,37.10134998522699,ok,
0,10000,endpoint,4000,0.2,none,0.6656126379966736,34.35850998573005,ok,
0,10000,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6671936511993408,37.34766288660467,ok,
0,10000,endpoint,10000,0.05,none,0.7090908885002136,34.8687220197171,ok,
0,10000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7126482129096985,39.4589070584625,ok,
0,10000,endpoint,10000,0.1,none,0.6584980487823486,34.837614718824625,ok,
0,10000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6592885255813599,39.678716557100415,ok,
0,10000,endpoint,10000,0.2,none,0.612252950668335,34.92069884389639,ok,
0,10000,endpoint,10000,0.2,accuracy_drop_selector_with_resampling,0.6154150366783142,39.5587486512959,ok,
1,2500,endpoint,1000,0.05,none,0.761660099029541,33.259151397272944,ok,
1,2500,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.752964437007904,36.369685772806406,ok,
1,2500,endpoint,1000,0.1,none,0.7549406886100769,33.19090808741748,ok,
1,2500,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7482213377952576,35.83608457446098,ok,
