seed,candidate_set_size,scoring_mode,block_size,epsilon,use_cert,accuracy,runtime_seconds,status,error
0,2500,endpoint,10000,0.05,none,0.7131704092025757,2631.669649714604,ok,
0,2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7121497988700867,2852.3351234272122,ok,
0,2500,endpoint,10000,0.1,none,0.6983211636543274,2634.449001967907,ok,
0,2500,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6974536776542664,2846.700994597748,ok,
0,2500,endpoint,20000,0.05,none,0.6950043439865112,2638.6268604174256,ok,
0,2500,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6902076601982117,2853.0001219809055,ok,
0,2500,endpoint,20000,0.1,none,0.6627034544944763,2639.5288974177092,ok,
0,2500,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.6577537655830383,2850.8180128894746,ok,
0,5000,endpoint,10000,0.05,none,0.7131704092025757,2631.669649714604,ok,
0,5000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7060774564743042,2839.7250182926655,ok,
0,5000,endpoint,10000,0.1,none,0.6983211636543274,2634.449001967907,ok,
0,5000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6937796473503113,2834.3281293660402,ok,
0,5000,endpoint,20000,0.05,none,0.6950043439865112,2638.6268604174256,ok,
0,5000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6925039291381836,2848.3939787633717,ok,
0,5000,endpoint,20000,0.1,none,0.6627034544944763,2639.5288974177092,ok,
0,5000,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.663111686706543,2848.9342944230884,ok,
0,10000,endpoint,10000,0.05,none,0.7131704092025757,2631.669649714604,ok,
0,10000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7119457125663757,2840.2523321118206,ok,
0,10000,endpoint,10000,0.1,none,0.6983211636543274,2634.449001967907,ok,
0,10000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6980660557746887,2842.7201135121286,ok,
0,10000,endpoint,20000,0.05,none,0.6950043439865112,2638.6268604174256,ok,
0,10000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6929121613502502,2850.6952570043504,ok,
0,10000,endpoint,20000,0.1,none,0.6627034544944763,2639.5288974177092,ok,
0,10000,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.6645914912223816,2849.4958151262254,ok,
1,2500,endpoint,10000,0.05,none,0.7170485258102417,2629.084825977683,ok,
1,2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7088329792022705,3587.2351308520883,ok,
1,2500,endpoint,10000,0.1,none,0.7059754133224487,2629.957968359813,ok,
1,2500,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6966372132301331,2840.0670589040965,ok,
1,2500,endpoint,20000,0.05,none,0.6989845633506775,2635.5886114556342,ok,
1,2500,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6897484064102173,2856.390342289582,ok,
1,2500,endpoint,20000,0.1,none,0.6724498867988586,2635.4286660440266,ok,
1,2500,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.6593866348266602,2837.418596247211,ok,
1,5000,endpoint,10000,0.05,none,0.7170485258102417,2629.084825977683,ok,
1,5000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7157217860221863,6583.495051722974,ok,
1,5000,endpoint,10000,0.1,none,0.7059754133224487,2629.957968359813,ok,
1,5000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.7057202458381653,2841.0524359513074,ok,
1,5000,endpoint,20000,0.05,none,0.6989845633506775,2635.5886114556342,ok,
1,5000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6974536776542664,2851.616417715326,ok,
1,5000,endpoint,20000,0.1,none,0.6724498867988586,2635.4286660440266,ok,
1,5000,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.6765831708908081,2833.3372692614794,ok,
1,10000,endpoint,10000,0.05,none,0.7170485258102417,2629.084825977683,ok,
1,10000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7098535299301147,2853.3890320602804,ok,
1,10000,endpoint,10000,0.1,none,0.7059754133224487,2629.957968359813,ok,
1,10000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6967393159866333,2830.759703675285,ok,
1,10000,endpoint,20000,0.05,none,0.6989845633506775,2635.5886114556342,ok,
1,10000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6913303136825562,2848.7162485308945,ok,
1,10000,endpoint,20000,0.1,none,0.6724498867988586,2635.4286660440266,ok,
