candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,0,0.0,0.0,5
2500,10000,endpoint,random,10,0.00042780637741088865,0.001219429261316664,5
2500,10000,endpoint,random,20,-0.00010695457458496094,0.0014838969090561968,5
2500,10000,endpoint,random,30,0.00042781829833984377,0.001331537808609175,5
2500,10000,endpoint,random,40,0.0008556246757507324,0.0020572681629794326,5
2500,10000,endpoint,random,50,0.002673804759979248,0.0028042930414442276,5
2500,10000,endpoint,random,60,0.0019251346588134766,0.0032659947275563905,5
2500,10000,endpoint,random,70,0.0029946565628051758,0.003885767768272883,5
2500,10000,endpoint,random,80,0.0035294294357299805,0.0033094633103199957,5
2500,10000,endpoint,random,90,0.003422451019287109,0.003177221802861839,5
2500,10000,endpoint,random,100,0.004064178466796875,0.0032877967376406312,5
2500,10000,endpoint,random,110,0.004705882072448731,0.0026577037976716813,5
2500,10000,endpoint,random,120,0.004919791221618652,0.0022813596675486923,5
2500,10000,endpoint,random,130,0.004705882072448731,0.003494394797923255,5
2500,10000,endpoint,random,140,0.005454552173614502,0.0025757614645333816,5
2500,10000,endpoint,random,150,0.005133688449859619,0.0024680299250657675,5
2500,10000,endpoint,random,160,0.005454540252685547,0.002657707995230274,5
2500,10000,endpoint,random,170,0.004919767379760742,0.002814485031015895,5
2500,10000,endpoint,random,180,0.0050267338752746586,0.003177217288532421,5
2500,10000,endpoint,random,190,0.00406416654586792,0.0032877981918252286,5
2500,10000,endpoint,random,200,0.0055614948272705075,0.003477990072265146,5
2500,10000,endpoint,random,210,0.00695188045501709,0.004142228980243757,5
2500,10000,endpoint,random,220,0.007700538635253907,0.0037547764906665027,5
2500,10000,endpoint,random,230,0.008556151390075683,0.0037049248121738664,5
2500,10000,endpoint,random,240,0.009411776065826416,0.0032659947275563905,5
2500,10000,endpoint,random,250,0.008663105964660644,0.0031951790943175137,5
2500,10000,endpoint,random,260,0.008342242240905762,0.0035992255788907645,5
2500,10000,endpoint,random,270,0.008983957767486572,0.004097118878191093,5
2500,10000,endpoint,random,280,0.008449196815490723,0.0035753104920909938,5
2500,10000,endpoint,random,290,0.009625673294067383,0.003800216579079874,5
2500,10000,endpoint,random,300,0.009625661373138427,0.0038002019009633547,5
2500,10000,endpoint,random,310,0.010267388820648194,0.003010842277309806,5
2500,10000,endpoint,random,320,0.00994652509689331,0.0030392154509532835,5
2500,10000,endpoint,random,330,0.010160434246063232,0.0034449684785318193,5
